"id","wachstum_in_10d","wachstums_bedingungen","anzahl_tentakel","opfer","farbe","gewicht_g","opfergroesse_cm","wachstum_in_30d"
"1",1,13.0892562823371,"Sonnenlicht",13,"Maus","helles giftgrün",300.620526560509,122.23655180752,44.1663322122532
"2",2,9.68529751318071,"Sonnenlicht",13,"Maus","helles giftgrün",297.005919493088,122.664800978702,33.9263022565603
"3",3,16.6592224721646,"Sonnenlicht",16,"Maus","helles giftgrün",280.279766471873,130.600692310919,42.5321663656891
"4",4,15.1128659678069,"Sonnenlicht",18,"Maus","helles giftgrün",253.588924239273,136.899588585345,41.4846086576463
"5",5,14.5006744485019,"Sonnenlicht",13,"Maus","helles giftgrün",301.786127052332,122.008008654222,58.3031630270234
"6",6,15.5329032988723,"Sonnenlicht",9,"Maus","helles giftgrün",324.28159302198,109.821947511758,47.8629566811884
"7",7,15.469904672347,"Sonnenlicht",9,"Maus","helles giftgrün",317.18334634091,109.833761080969,46.7154619611613
"8",8,16.5636998585081,"Sonnenlicht",16,"Maus","helles giftgrün",271.492047420363,130.620195346112,44.3266492944915
"9",9,14.3033907889493,"Sonnenlicht",13,"Maus","helles giftgrün",297.345932987178,122.041750175042,42.6332501627654
"10",10,15.5530195127387,"Sonnenlicht",17,"Maus","helles giftgrün",260.425777428758,133.818162758346,44.6202454329213
"11",11,13.9776830417141,"Sonnenlicht",11,"Maus","helles giftgrün",307.777098746427,116.096178562767,46.0237982918073
"12",12,18.4261923563095,"Sonnenlicht",12,"Maus","helles giftgrün",310.665214086968,118.215244420396,53.3708761044521
"13",13,16.1888691182281,"Sonnenlicht",13,"Maus","helles giftgrün",300.657751767036,121.695402985367,51.6741793828094
"14",14,14.6128527159204,"Sonnenlicht",11,"Maus","helles giftgrün",311.009406125587,115.988562388488,40.6452223619714
"15",15,14.5560884332423,"Sonnenlicht",16,"Maus","helles giftgrün",277.609739995966,130.998426150923,52.6991717811316
"16",16,20.1899172855209,"Sonnenlicht",19,"Ratte","helles giftgrün",252.437440494018,138.783800577877,49.8095548341079
"17",17,12.7512319491362,"Sonnenlicht",15,"Ratte","helles giftgrün",273.949478399894,128.286851066056,42.9838510234013
"18",18,16.296079264631,"Sonnenlicht",17,"Ratte","helles giftgrün",268.244585300363,133.674107071415,44.6171477837726
"19",19,16.1491010260045,"Sonnenlicht",17,"Ratte","helles giftgrün",277.229556295178,133.703258566559,41.6962869738069
"20",20,17.2630711438252,"Sonnenlicht",13,"Ratte","helles giftgrün",300.990026454251,121.474236011596,46.2069639522478
"21",21,16.5200181169301,"Sonnenlicht",19,"Kaninchen","helles giftgrün",253.082266958998,139.629068325884,48.6026765102986
