"id","wachstum_in_10d","wachstums_bedingungen","anzahl_tentakel","opfer","farbe","gewicht_g","opfergroesse_cm","wachstum_in_30d"
"1",1,23.0892562823371,"Sonnenlicht",13,"Maus","helles giftgrün",310.620526560509,132.23655180752,54.1663322122532
"2",2,19.6852975131807,"Sonnenlicht",13,"Maus","helles giftgrün",307.005919493088,132.664800978702,43.9263022565603
"3",3,26.6592224721646,"Sonnenlicht",16,"Maus","helles giftgrün",290.279766471873,140.600692310919,52.5321663656891
"4",4,25.1128659678069,"Sonnenlicht",18,"Maus","helles giftgrün",263.588924239273,146.899588585345,51.4846086576463
"5",5,24.5006744485019,"Sonnenlicht",13,"Maus","helles giftgrün",311.786127052332,132.008008654222,68.3031630270234
"6",6,25.5329032988723,"Sonnenlicht",9,"Maus","helles giftgrün",334.28159302198,119.821947511758,57.8629566811884
"7",7,25.469904672347,"Sonnenlicht",9,"Maus","helles giftgrün",327.18334634091,119.833761080969,56.7154619611613
"8",8,26.5636998585081,"Sonnenlicht",16,"Maus","helles giftgrün",281.492047420363,140.620195346112,54.3266492944915
"9",9,24.3033907889493,"Sonnenlicht",13,"Maus","helles giftgrün",307.345932987178,132.041750175042,52.6332501627654
"10",10,25.5530195127387,"Sonnenlicht",17,"Maus","helles giftgrün",270.425777428758,143.818162758346,54.6202454329213
"11",11,23.9776830417141,"Sonnenlicht",11,"Maus","helles giftgrün",317.777098746427,126.096178562767,56.0237982918073
"12",12,28.4261923563095,"Sonnenlicht",12,"Maus","helles giftgrün",320.665214086968,128.215244420396,63.3708761044521
"13",13,26.1888691182281,"Sonnenlicht",13,"Maus","helles giftgrün",310.657751767036,131.695402985367,61.6741793828094
"14",14,24.6128527159204,"Sonnenlicht",11,"Maus","helles giftgrün",321.009406125587,125.988562388488,50.6452223619714
"15",15,24.5560884332423,"Sonnenlicht",16,"Maus","helles giftgrün",287.609739995966,140.998426150923,62.6991717811316
"16",16,30.1899172855209,"Sonnenlicht",19,"Ratte","helles giftgrün",262.437440494018,148.783800577877,59.8095548341079
"17",17,22.7512319491362,"Sonnenlicht",15,"Ratte","helles giftgrün",283.949478399894,138.286851066056,52.9838510234013
"18",18,26.296079264631,"Sonnenlicht",17,"Ratte","helles giftgrün",278.244585300363,143.674107071415,54.6171477837726
"19",19,26.1491010260045,"Sonnenlicht",17,"Ratte","helles giftgrün",287.229556295178,143.703258566559,51.6962869738069
"20",20,27.2630711438252,"Sonnenlicht",13,"Ratte","helles giftgrün",310.990026454251,131.474236011596,56.2069639522478
"21",21,26.5200181169301,"Sonnenlicht",19,"Kaninchen","helles giftgrün",263.082266958998,149.629068325884,58.6026765102986
"22",22,28.1614350795507,"Sonnenlicht",16,"Kaninchen","helles blaugrün",286.150320425887,140.275981647464,59.1193020391201
"23",23,27.3324894295033,"Sonnenlicht",12,"Kaninchen","helles blaugrün",317.468123485245,128.459348100649,66.9133282607374
"24",24,32.6014935790942,"Baumschatten",16,"Kaninchen","helles blaugrün",283.840423936331,139.118360871015,59.0157930108069
"25",25,36.3228618979718,"Baumschatten",18,"Kaninchen","helles blaugrün",266.144069507172,143.920330846661,72.0298108845291
"26",26,32.5325007536329,"Baumschatten",15,"Kaninchen","helles blaugrün",296.879521842986,136.13861060732,62.5486627249218
"27",27,35.7771365184509,"Baumschatten",19,"Kaninchen","helles blaugrün",253.161115076916,147.109015390149,66.0833677209456
"28",28,32.0584831995346,"Baumschatten",17,"Kaninchen","helles blaugrün",280.529680050447,142.275806635998,71.8951137089876
"29",29,33.509841203763,"Baumschatten",12,"Kaninchen","helles blaugrün",311.55473197905,126.845098103473,56.0271855328713
"30",30,35.2236701654869,"Baumschatten",20,"Kaninchen","helles blaugrün",254.870446979987,150.295813632817,66.9659150831595
"31",31,31.0583343390433,"Baumschatten",12,"Kaninchen","helles blaugrün",305.95670283729,127.554224206745,66.1498250531246
"32",32,33.5244585831991,"Baumschatten",17,"Kaninchen","helles blaugrün",275.732246113623,141.840599498999,53.0568288407638
