"id","wachstum_in_10d","wachstums_bedingungen","anzahl_tentakel","opfer","farbe","gewicht_g","opfergroesse_cm","wachstum_in_30d"
"1",1,16.0892562823371,"Sonnenlicht",13,"Maus","helles giftgrün",303.620526560509,125.23655180752,47.1663322122532
"2",2,12.6852975131807,"Sonnenlicht",13,"Maus","helles giftgrün",300.005919493088,125.664800978702,36.9263022565603
"3",3,19.6592224721646,"Sonnenlicht",16,"Maus","helles giftgrün",283.279766471873,133.600692310919,45.5321663656891
"4",4,18.1128659678069,"Sonnenlicht",18,"Maus","helles giftgrün",256.588924239273,139.899588585345,44.4846086576463
"5",5,17.5006744485019,"Sonnenlicht",13,"Maus","helles giftgrün",304.786127052332,125.008008654222,61.3031630270234
"6",6,18.5329032988723,"Sonnenlicht",9,"Maus","helles giftgrün",327.28159302198,112.821947511758,50.8629566811884
"7",7,18.469904672347,"Sonnenlicht",9,"Maus","helles giftgrün",320.18334634091,112.833761080969,49.7154619611613
"8",8,19.5636998585081,"Sonnenlicht",16,"Maus","helles giftgrün",274.492047420363,133.620195346112,47.3266492944915
"9",9,17.3033907889493,"Sonnenlicht",13,"Maus","helles giftgrün",300.345932987178,125.041750175042,45.6332501627654
"10",10,18.5530195127387,"Sonnenlicht",17,"Maus","helles giftgrün",263.425777428758,136.818162758346,47.6202454329213
"11",11,16.9776830417141,"Sonnenlicht",11,"Maus","helles giftgrün",310.777098746427,119.096178562767,49.0237982918073
"12",12,21.4261923563095,"Sonnenlicht",12,"Maus","helles giftgrün",313.665214086968,121.215244420396,56.3708761044521
"13",13,19.1888691182281,"Sonnenlicht",13,"Maus","helles giftgrün",303.657751767036,124.695402985367,54.6741793828094
"14",14,17.6128527159204,"Sonnenlicht",11,"Maus","helles giftgrün",314.009406125587,118.988562388488,43.6452223619714
"15",15,17.5560884332423,"Sonnenlicht",16,"Maus","helles giftgrün",280.609739995966,133.998426150923,55.6991717811316
"16",16,23.1899172855209,"Sonnenlicht",19,"Ratte","helles giftgrün",255.437440494018,141.783800577877,52.8095548341079
"17",17,15.7512319491362,"Sonnenlicht",15,"Ratte","helles giftgrün",276.949478399894,131.286851066056,45.9838510234013
"18",18,19.296079264631,"Sonnenlicht",17,"Ratte","helles giftgrün",271.244585300363,136.674107071415,47.6171477837726
"19",19,19.1491010260045,"Sonnenlicht",17,"Ratte","helles giftgrün",280.229556295178,136.703258566559,44.6962869738069
"20",20,20.2630711438252,"Sonnenlicht",13,"Ratte","helles giftgrün",303.990026454251,124.474236011596,49.2069639522478
"21",21,19.5200181169301,"Sonnenlicht",19,"Kaninchen","helles giftgrün",256.082266958998,142.629068325884,51.6026765102986
"22",22,21.1614350795507,"Sonnenlicht",16,"Kaninchen","helles blaugrün",279.150320425887,133.275981647464,52.1193020391201
"23",23,20.3324894295033,"Sonnenlicht",12,"Kaninchen","helles blaugrün",310.468123485245,121.459348100649,59.9133282607374
"24",24,25.6014935790942,"Baumschatten",16,"Kaninchen","helles blaugrün",276.840423936331,132.118360871015,52.0157930108069
"25",25,29.3228618979718,"Baumschatten",18,"Kaninchen","helles blaugrün",259.144069507172,136.920330846661,65.0298108845291
"26",26,25.5325007536329,"Baumschatten",15,"Kaninchen","helles blaugrün",289.879521842986,129.13861060732,55.5486627249218
"27",27,28.7771365184509,"Baumschatten",19,"Kaninchen","helles blaugrün",246.161115076916,140.109015390149,59.0833677209456
