"id","fellfarbe","groesse","art","opfer","gewicht_kg","landschaft","sex","hauerlaenge"
"1",1,"weiß",212,"Yeti","Tourist",663.07,"Hochgebirge","weiblich",1682.39655064431
"2",2,"weiß",176,"Yeti","Tourist",633.44,"Hochgebirge","weiblich",1820.8480250618
"3",3,"weiß",209,"Yeti","Tourist",697.82,"Hochgebirge","weiblich",1671.9650271044
"4",4,"weiß",258,"Yeti","Tourist",789.76,"Hochgebirge","weiblich",1288.22350637591
"5",5,"weiß",242,"Yeti","Tourist",729.2,"Hochgebirge","weiblich",1381.05413383964
"6",6,"weiß",197,"Yeti","Tourist",671,"Hochgebirge","weiblich",1775.63506940949
"7",7,"weiß",236,"Yeti","Tourist",720.52,"Hochgebirge","weiblich",1501.26447705963
"8",8,"weiß",226,"Yeti","Tourist",693.62,"Hochgebirge","weiblich",1542.55681273402
"9",9,"weiß",228,"Yeti","Tourist",694.4,"Hochgebirge","weiblich",1513.45142665092
"10",10,"weiß",243,"Yeti","Tourist",758.03,"Hochgebirge","weiblich",1410.80105929827
"11",11,"weiß",223,"Yeti","Tourist",711.02,"Hochgebirge","weiblich",1564.25673454571
"12",12,"weiß",222,"Yeti","Tourist",700.16,"Hochgebirge","weiblich",1526.21438568719
"13",13,"weiß",244,"Yeti","Tourist",729.41,"Hochgebirge","weiblich",1429.33517070442
"14",14,"weiß",249,"Yeti","Geologe",742.5,"Hochgebirge","unbest.",1382.35876364462
"15",15,"weiß",265,"Yeti","Geologe",781.17,"Hochgebirge","unbest.",1112.49090222589
"16",16,"weiß",236,"Yeti","Geologe",744.39,"Hochgebirge","unbest.",1490.59781993664
"17",17,"weiß",258,"Yeti","Geologe",769.9,"Hochgebirge","unbest.",1290.8107057975
"18",18,"weiß",314,"Yeti","Geologe",871.47,"Hochgebirge","unbest.",375.915650145199
"19",19,"weiß",241,"Yeti","Geologe",745.59,"Hochgebirge","unbest.",1450.98648622317
"20",20,"weiß",229,"Yeti","Geologe",704.96,"Hochgebirge","unbest.",1533.74810809815
"21",21,"weiß",254,"Yeti","Geologe",759.57,"Hochgebirge","unbest.",1342.67599108108
"22",22,"beige",236,"Yeti","Geologe",729.51,"Hochgebirge","unbest.",1493.28446042455
"23",23,"beige",283,"Yeti","Geologe",823.86,"Hochgebirge","unbest.",967.245852612998
"24",24,"beige",171,"Yeti","Geologe",607.08,"Hochgebirge","männlich",1835.36137867508
"25",25,"beige",244,"Yeti","Geologe",768.95,"Hochgebirge","männlich",1362.24182374304
"26",26,"beige",268,"Yeti","Geologe",779.12,"Hochgebirge","männlich",1210.24667735137
"27",27,"beige",280,"Yeti","Geologe",803.02,"Hochgebirge","männlich",1033.74900008137
"28",28,"beige",260,"Yeti","Geologe",781.83,"Hochgebirge","männlich",1226.56096212307
"29",29,"beige",312,"Yeti","Geologe",865.04,"Hochgebirge","männlich",500.907343000647
"30",30,"beige",260,"Yeti","Geologe",770.87,"Hochgebirge","männlich",1239.1791306416
"31",31,"beige",270,"Yeti","Geologe",767.43,"Hochgebirge","männlich",1110.85569815245
"32",32,"beige",235,"Yeti","Biologe",695.73,"Hochgebirge","männlich",1421.56522057201
"33",33,"beige",200,"Yeti","Biologe",645.79,"Hochgebirge","männlich",1738.69154849487
"34",34,"beige",248,"Yeti","Biologe",742.89,"Mittelgebirge","männlich",1392.03786082327
"35",35,"beige",249,"Yeti","Biologe",755.41,"Mittelgebirge","männlich",1287.07417963159
"36",36,"hellbraun",256,"Bigfoot","Biologe",760.35,"Mittelgebirge","männlich",1301.18097489903
"37",37,"hellbraun",267,"Bigfoot","Biologe",807.97,"Mittelgebirge","männlich",1191.10107221139
"38",38,"hellbraun",254,"Bigfoot","Biologe",786.92,"Mittelgebirge","männlich",1200.68354463929
"39",39,"hellbraun",198,"Bigfoot","Biologe",649.8,"Mittelgebirge","männlich",1743.56619326791
"40",40,"hellbraun",223,"Bigfoot","Abenteurer",697.93,"Mittelgebirge","männlich",1578.93355849961
"41",41,"hellbraun",225,"Bigfoot","Abenteurer",691.14,"Mittelgebirge","männlich",1596.09494887474
"42",42,"hellbraun",240,"Bigfoot","Abenteurer",755.26,"Mittelgebirge","männlich",1458.64688944873
"43",43,"dunkelbraun",283,"Yeti","Abenteurer",801.91,"Mittelgebirge","männlich",967.245852612998
"44",44,"dunkelbraun",229,"Yeti","Abenteurer",727.89,"Mittelgebirge","männlich",1554.7027971423
"45",45,"dunkelbraun",227,"Yeti","Abenteurer",707.32,"Mittelgebirge","männlich",1509.39645956416
"46",46,"dunkelbraun",290,"Bigfoot","Abenteurer",810.35,"Mittelgebirge","männlich",932.755907981252
