"id","fellfarbe","groesse","art","opfer","gewicht_kg","landschaft","sex","hauerlaenge"
"1",1,"weiß",212,"Yeti","Tourist",664.07,"Hochgebirge","weiblich",1683.39655064431
"2",2,"weiß",176,"Yeti","Tourist",634.44,"Hochgebirge","weiblich",1821.8480250618
"3",3,"weiß",209,"Yeti","Tourist",698.82,"Hochgebirge","weiblich",1672.9650271044
"4",4,"weiß",258,"Yeti","Tourist",790.76,"Hochgebirge","weiblich",1289.22350637591
"5",5,"weiß",242,"Yeti","Tourist",730.2,"Hochgebirge","weiblich",1382.05413383964
"6",6,"weiß",197,"Yeti","Tourist",672,"Hochgebirge","weiblich",1776.63506940949
"7",7,"weiß",236,"Yeti","Tourist",721.52,"Hochgebirge","weiblich",1502.26447705963
"8",8,"weiß",226,"Yeti","Tourist",694.62,"Hochgebirge","weiblich",1543.55681273402
"9",9,"weiß",228,"Yeti","Tourist",695.4,"Hochgebirge","weiblich",1514.45142665092
"10",10,"weiß",243,"Yeti","Tourist",759.03,"Hochgebirge","weiblich",1411.80105929827
"11",11,"weiß",223,"Yeti","Tourist",712.02,"Hochgebirge","weiblich",1565.25673454571
"12",12,"weiß",222,"Yeti","Tourist",701.16,"Hochgebirge","weiblich",1527.21438568719
"13",13,"weiß",244,"Yeti","Tourist",730.41,"Hochgebirge","weiblich",1430.33517070442
"14",14,"weiß",249,"Yeti","Geologe",743.5,"Hochgebirge","unbest.",1383.35876364462
"15",15,"weiß",265,"Yeti","Geologe",782.17,"Hochgebirge","unbest.",1113.49090222589
"16",16,"weiß",236,"Yeti","Geologe",745.39,"Hochgebirge","unbest.",1491.59781993664
"17",17,"weiß",258,"Yeti","Geologe",770.9,"Hochgebirge","unbest.",1291.8107057975
"18",18,"weiß",314,"Yeti","Geologe",872.47,"Hochgebirge","unbest.",376.915650145199
"19",19,"weiß",241,"Yeti","Geologe",746.59,"Hochgebirge","unbest.",1451.98648622317
"20",20,"weiß",229,"Yeti","Geologe",705.96,"Hochgebirge","unbest.",1534.74810809815
"21",21,"weiß",254,"Yeti","Geologe",760.57,"Hochgebirge","unbest.",1343.67599108108
"22",22,"beige",236,"Yeti","Geologe",730.51,"Hochgebirge","unbest.",1494.28446042455
"23",23,"beige",283,"Yeti","Geologe",824.86,"Hochgebirge","unbest.",968.245852612998
"24",24,"beige",171,"Yeti","Geologe",608.08,"Hochgebirge","männlich",1836.36137867508
"25",25,"beige",244,"Yeti","Geologe",769.95,"Hochgebirge","männlich",1363.24182374304
"26",26,"beige",268,"Yeti","Geologe",780.12,"Hochgebirge","männlich",1211.24667735137
"27",27,"beige",280,"Yeti","Geologe",804.02,"Hochgebirge","männlich",1034.74900008137
"28",28,"beige",260,"Yeti","Geologe",782.83,"Hochgebirge","männlich",1227.56096212307
