"id","fellfarbe","groesse","art","opfer","gewicht_kg","landschaft","sex","hauerlaenge"
"1",1,"weiß",212,"Yeti","Tourist",667.07,"Hochgebirge","weiblich",1686.39655064431
"2",2,"weiß",176,"Yeti","Tourist",637.44,"Hochgebirge","weiblich",1824.8480250618
"3",3,"weiß",209,"Yeti","Tourist",701.82,"Hochgebirge","weiblich",1675.9650271044
"4",4,"weiß",258,"Yeti","Tourist",793.76,"Hochgebirge","weiblich",1292.22350637591
"5",5,"weiß",242,"Yeti","Tourist",733.2,"Hochgebirge","weiblich",1385.05413383964
"6",6,"weiß",197,"Yeti","Tourist",675,"Hochgebirge","weiblich",1779.63506940949
"7",7,"weiß",236,"Yeti","Tourist",724.52,"Hochgebirge","weiblich",1505.26447705963
"8",8,"weiß",226,"Yeti","Tourist",697.62,"Hochgebirge","weiblich",1546.55681273402
"9",9,"weiß",228,"Yeti","Tourist",698.4,"Hochgebirge","weiblich",1517.45142665092
"10",10,"weiß",243,"Yeti","Tourist",762.03,"Hochgebirge","weiblich",1414.80105929827
"11",11,"weiß",223,"Yeti","Tourist",715.02,"Hochgebirge","weiblich",1568.25673454571
"12",12,"weiß",222,"Yeti","Tourist",704.16,"Hochgebirge","weiblich",1530.21438568719
"13",13,"weiß",244,"Yeti","Tourist",733.41,"Hochgebirge","weiblich",1433.33517070442
"14",14,"weiß",249,"Yeti","Geologe",746.5,"Hochgebirge","unbest.",1386.35876364462
"15",15,"weiß",265,"Yeti","Geologe",785.17,"Hochgebirge","unbest.",1116.49090222589
"16",16,"weiß",236,"Yeti","Geologe",748.39,"Hochgebirge","unbest.",1494.59781993664
"17",17,"weiß",258,"Yeti","Geologe",773.9,"Hochgebirge","unbest.",1294.8107057975
"18",18,"weiß",314,"Yeti","Geologe",875.47,"Hochgebirge","unbest.",379.915650145199
"19",19,"weiß",241,"Yeti","Geologe",749.59,"Hochgebirge","unbest.",1454.98648622317
"20",20,"weiß",229,"Yeti","Geologe",708.96,"Hochgebirge","unbest.",1537.74810809815
"21",21,"weiß",254,"Yeti","Geologe",763.57,"Hochgebirge","unbest.",1346.67599108108
"22",22,"beige",236,"Yeti","Geologe",733.51,"Hochgebirge","unbest.",1497.28446042455
"23",23,"beige",283,"Yeti","Geologe",827.86,"Hochgebirge","unbest.",971.245852612998
"24",24,"beige",171,"Yeti","Geologe",611.08,"Hochgebirge","männlich",1839.36137867508
"25",25,"beige",244,"Yeti","Geologe",772.95,"Hochgebirge","männlich",1366.24182374304
"26",26,"beige",268,"Yeti","Geologe",783.12,"Hochgebirge","männlich",1214.24667735137
"27",27,"beige",280,"Yeti","Geologe",807.02,"Hochgebirge","männlich",1037.74900008137
"28",28,"beige",260,"Yeti","Geologe",785.83,"Hochgebirge","männlich",1230.56096212307
"29",29,"beige",312,"Yeti","Geologe",869.04,"Hochgebirge","männlich",504.907343000647
"30",30,"beige",260,"Yeti","Geologe",774.87,"Hochgebirge","männlich",1243.1791306416
"31",31,"beige",270,"Yeti","Geologe",771.43,"Hochgebirge","männlich",1114.85569815245
"32",32,"beige",235,"Yeti","Biologe",699.73,"Hochgebirge","männlich",1425.56522057201
"33",33,"beige",200,"Yeti","Biologe",649.79,"Hochgebirge","männlich",1742.69154849487
"34",34,"beige",248,"Yeti","Biologe",746.89,"Mittelgebirge","männlich",1396.03786082327
"35",35,"beige",249,"Yeti","Biologe",759.41,"Mittelgebirge","männlich",1291.07417963159
"36",36,"hellbraun",256,"Bigfoot","Biologe",764.35,"Mittelgebirge","männlich",1305.18097489903
"37",37,"hellbraun",267,"Bigfoot","Biologe",811.97,"Mittelgebirge","männlich",1195.10107221139
"38",38,"hellbraun",254,"Bigfoot","Biologe",790.92,"Mittelgebirge","männlich",1204.68354463929
"39",39,"hellbraun",198,"Bigfoot","Biologe",653.8,"Mittelgebirge","männlich",1747.56619326791
"40",40,"hellbraun",223,"Bigfoot","Abenteurer",701.93,"Mittelgebirge","männlich",1582.93355849961
"41",41,"hellbraun",225,"Bigfoot","Abenteurer",695.14,"Mittelgebirge","männlich",1600.09494887474
"42",42,"hellbraun",240,"Bigfoot","Abenteurer",759.26,"Mittelgebirge","männlich",1462.64688944873
"43",43,"dunkelbraun",283,"Yeti","Abenteurer",805.91,"Mittelgebirge","männlich",971.245852612998
"44",44,"dunkelbraun",229,"Yeti","Abenteurer",731.89,"Mittelgebirge","männlich",1558.7027971423
"45",45,"dunkelbraun",227,"Yeti","Abenteurer",711.32,"Mittelgebirge","männlich",1513.39645956416
"46",46,"dunkelbraun",290,"Bigfoot","Abenteurer",814.35,"Mittelgebirge","männlich",936.755907981252
"47",47,"dunkelbraun",307,"Bigfoot","Abenteurer",890.96,"Mittelgebirge","männlich",655.014502844719
"48",48,"dunkelbraun",278,"Bigfoot","Abenteurer",814.91,"Mittelgebirge","männlich",1016.46904121138
"49",49,"dunkelbraun",282,"Bigfoot","Abenteurer",814.03,"Mittelgebirge","männlich",947.530230018602
"50",50,"dunkelbraun",299,"Bigfoot","Abenteurer",855.42,"Mittelgebirge","männlich",740.258235488063
"51",51,"dunkelbraun",271,"Bigfoot","Tourist",789.96,"Mittelgebirge","männlich",1102.8088675909
"52",52,"dunkelbraun",288,"Bigfoot","Tourist",855.58,"Mittelgebirge","männlich",824.018624333237
"53",53,"dunkelbraun",299,"Bigfoot","Tourist",847.88,"Mittelgebirge","männlich",774.389698466359
"54",54,"dunkelbraun",274,"Bigfoot","Tourist",820.02,"Mittelgebirge","weiblich",1111.88133417839
"55",55,"dunkelbraun",262,"Bigfoot","Tourist",798.63,"Mittelgebirge","weiblich",1151.17526673946
"56",56,"dunkelbraun",236,"Bigfoot","Tourist",711.18,"Mittelgebirge","weiblich",1494.59781993664
"57",57,"dunkelbraun",306,"Bigfoot","Tourist",855.93,"Mittelgebirge","weiblich",669.425993338229
"58",58,"dunkelbraun",265,"Bigfoot","Tourist",788.12,"Mittelgebirge","weiblich",1080.42609731537
"59",59,"dunkelbraun",298,"Bigfoot","Tourist",851.47,"Ebene","weiblich",782.148269908049
"60",60,"dunkelbraun",315,"Bigfoot","Tourist",907.73,"Ebene","weiblich",494.489985677088
"61",61,"dunkelbraun",273,"Bigfoot","Tourist",823.25,"Ebene","weiblich",1135.04288080247
"62",62,"dunkelbraun",307,"Bigfoot","Tourist",845.6,"Ebene","weiblich",644.6175756038
"63",63,"dunkelbraun",297,"Bigfoot","Tourist",868.68,"Ebene","weiblich",776.320603384895
"64",64,"dunkelbraun",272,"Bigfoot","Tourist",794.59,"Ebene","weiblich",1133.47833152317
"65",65,"dunkelbraun",247,"Bigfoot","Tourist",721.7,"Ebene","weiblich",1337.27335859814
"66",66,"dunkelbraun",308,"Bigfoot","Tourist",830.67,"Ebene","weiblich",673.718005769335
"67",67,"dunkelbraun",265,"Bigfoot","Tourist",806.32,"Ebene","weiblich",1218.87927632396
"68",68,"dunkelbraun",294,"Bigfoot","Tourist",864.29,"Ebene","weiblich",798.965111512106
"69",69,"dunkelbraun",253,"Bigfoot","Tourist",793.3,"Ebene","weiblich",1289.84902080262
"70",70,"dunkelbraun",255,"Bigfoot","Tourist",764.74,"Ebene","weiblich",1296.6561684818
"71",71,"dunkelbraun",257,"Bigfoot","Tourist",743.14,"Ebene","weiblich",1262.36449545272
"72",72,"dunkelbraun",244,"Bigfoot","Tourist",753.58,"Ebene","weiblich",1343.2157985692
"73",73,"dunkelbraun",278,"Bigfoot","Tourist",797.61,"Ebene","weiblich",1061.68706059362
"74",74,"dunkelbraun",291,"Bigfoot","Tourist",845.72,"Ebene","unbest.",889.536682141355
"75",75,"dunkelbraun",277,"Bigfoot","Tourist",832.75,"Ebene","unbest.",968.753444171623
"76",76,"schwarz",321,"Bigfoot","Geologe",900.53,"Ebene","unbest.",413.326228526777
"77",77,"schwarz",292,"Bigfoot","Geologe",828.5,"Ebene","unbest.",875.629867805518
"78",78,"schwarz",299,"Bigfoot","Geologe",863.1,"Ebene","unbest.",619.857623768722
"79",79,"schwarz",285,"Bigfoot","Geologe",810.03,"Ebene","unbest.",964.202599944831
"80",80,"schwarz",273,"Bigfoot","Geologe",798.92,"Hochgebirge","unbest.",1096.38813848737
"81",81,"schwarz",292,"Bigfoot","Abenteurer",825.02,"Hochgebirge","unbest.",887.30977052386
"82",82,"schwarz",296,"Bigfoot","Abenteurer",799.19,"Hochgebirge","unbest.",809.720895787295
"83",83,"schwarz",311,"Bigfoot","Abenteurer",882.7,"Hochgebirge","unbest.",561.795354156792
"84",84,"schwarz",295,"Bigfoot","Biologe",854.36,"Hochgebirge","männlich",830.132687122235
"85",85,"schwarz",279,"Bigfoot","Biologe",811.85,"Hochgebirge","männlich",972.276397052488
"86",86,"schwarz",293,"Bigfoot","Biologe",828.77,"Hochgebirge","männlich",895.166257612599
