"id","fellfarbe","groesse","art","opfer","gewicht_kg","landschaft","sex","hauerlaenge"
"1",1,"weiß",212,"Yeti","Tourist",666.07,"Hochgebirge","weiblich",1685.39655064431
"2",2,"weiß",176,"Yeti","Tourist",636.44,"Hochgebirge","weiblich",1823.8480250618
"3",3,"weiß",209,"Yeti","Tourist",700.82,"Hochgebirge","weiblich",1674.9650271044
"4",4,"weiß",258,"Yeti","Tourist",792.76,"Hochgebirge","weiblich",1291.22350637591
"5",5,"weiß",242,"Yeti","Tourist",732.2,"Hochgebirge","weiblich",1384.05413383964
"6",6,"weiß",197,"Yeti","Tourist",674,"Hochgebirge","weiblich",1778.63506940949
"7",7,"weiß",236,"Yeti","Tourist",723.52,"Hochgebirge","weiblich",1504.26447705963
"8",8,"weiß",226,"Yeti","Tourist",696.62,"Hochgebirge","weiblich",1545.55681273402
"9",9,"weiß",228,"Yeti","Tourist",697.4,"Hochgebirge","weiblich",1516.45142665092
"10",10,"weiß",243,"Yeti","Tourist",761.03,"Hochgebirge","weiblich",1413.80105929827
"11",11,"weiß",223,"Yeti","Tourist",714.02,"Hochgebirge","weiblich",1567.25673454571
"12",12,"weiß",222,"Yeti","Tourist",703.16,"Hochgebirge","weiblich",1529.21438568719
"13",13,"weiß",244,"Yeti","Tourist",732.41,"Hochgebirge","weiblich",1432.33517070442
"14",14,"weiß",249,"Yeti","Geologe",745.5,"Hochgebirge","unbest.",1385.35876364462
"15",15,"weiß",265,"Yeti","Geologe",784.17,"Hochgebirge","unbest.",1115.49090222589
"16",16,"weiß",236,"Yeti","Geologe",747.39,"Hochgebirge","unbest.",1493.59781993664
"17",17,"weiß",258,"Yeti","Geologe",772.9,"Hochgebirge","unbest.",1293.8107057975
"18",18,"weiß",314,"Yeti","Geologe",874.47,"Hochgebirge","unbest.",378.915650145199
"19",19,"weiß",241,"Yeti","Geologe",748.59,"Hochgebirge","unbest.",1453.98648622317
"20",20,"weiß",229,"Yeti","Geologe",707.96,"Hochgebirge","unbest.",1536.74810809815
"21",21,"weiß",254,"Yeti","Geologe",762.57,"Hochgebirge","unbest.",1345.67599108108
"22",22,"beige",236,"Yeti","Geologe",732.51,"Hochgebirge","unbest.",1496.28446042455
"23",23,"beige",283,"Yeti","Geologe",826.86,"Hochgebirge","unbest.",970.245852612998
"24",24,"beige",171,"Yeti","Geologe",610.08,"Hochgebirge","männlich",1838.36137867508
"25",25,"beige",244,"Yeti","Geologe",771.95,"Hochgebirge","männlich",1365.24182374304
"26",26,"beige",268,"Yeti","Geologe",782.12,"Hochgebirge","männlich",1213.24667735137
"27",27,"beige",280,"Yeti","Geologe",806.02,"Hochgebirge","männlich",1036.74900008137
"28",28,"beige",260,"Yeti","Geologe",784.83,"Hochgebirge","männlich",1229.56096212307
"29",29,"beige",312,"Yeti","Geologe",868.04,"Hochgebirge","männlich",503.907343000647
"30",30,"beige",260,"Yeti","Geologe",773.87,"Hochgebirge","männlich",1242.1791306416
"31",31,"beige",270,"Yeti","Geologe",770.43,"Hochgebirge","männlich",1113.85569815245
"32",32,"beige",235,"Yeti","Biologe",698.73,"Hochgebirge","männlich",1424.56522057201
"33",33,"beige",200,"Yeti","Biologe",648.79,"Hochgebirge","männlich",1741.69154849487
"34",34,"beige",248,"Yeti","Biologe",745.89,"Mittelgebirge","männlich",1395.03786082327
"35",35,"beige",249,"Yeti","Biologe",758.41,"Mittelgebirge","männlich",1290.07417963159
"36",36,"hellbraun",256,"Bigfoot","Biologe",763.35,"Mittelgebirge","männlich",1304.18097489903
"37",37,"hellbraun",267,"Bigfoot","Biologe",810.97,"Mittelgebirge","männlich",1194.10107221139
"38",38,"hellbraun",254,"Bigfoot","Biologe",789.92,"Mittelgebirge","männlich",1203.68354463929
"39",39,"hellbraun",198,"Bigfoot","Biologe",652.8,"Mittelgebirge","männlich",1746.56619326791
