"id","fellfarbe","groesse","art","opfer","gewicht_kg","landschaft","sex","hauerlaenge"
"1",1,"weiß",212,"Yeti","Tourist",661.07,"Hochgebirge","weiblich",1680.39655064431
"2",2,"weiß",176,"Yeti","Tourist",631.44,"Hochgebirge","weiblich",1818.8480250618
"3",3,"weiß",209,"Yeti","Tourist",695.82,"Hochgebirge","weiblich",1669.9650271044
"4",4,"weiß",258,"Yeti","Tourist",787.76,"Hochgebirge","weiblich",1286.22350637591
"5",5,"weiß",242,"Yeti","Tourist",727.2,"Hochgebirge","weiblich",1379.05413383964
"6",6,"weiß",197,"Yeti","Tourist",669,"Hochgebirge","weiblich",1773.63506940949
"7",7,"weiß",236,"Yeti","Tourist",718.52,"Hochgebirge","weiblich",1499.26447705963
"8",8,"weiß",226,"Yeti","Tourist",691.62,"Hochgebirge","weiblich",1540.55681273402
"9",9,"weiß",228,"Yeti","Tourist",692.4,"Hochgebirge","weiblich",1511.45142665092
"10",10,"weiß",243,"Yeti","Tourist",756.03,"Hochgebirge","weiblich",1408.80105929827
"11",11,"weiß",223,"Yeti","Tourist",709.02,"Hochgebirge","weiblich",1562.25673454571
"12",12,"weiß",222,"Yeti","Tourist",698.16,"Hochgebirge","weiblich",1524.21438568719
"13",13,"weiß",244,"Yeti","Tourist",727.41,"Hochgebirge","weiblich",1427.33517070442
"14",14,"weiß",249,"Yeti","Geologe",740.5,"Hochgebirge","unbest.",1380.35876364462
"15",15,"weiß",265,"Yeti","Geologe",779.17,"Hochgebirge","unbest.",1110.49090222589
"16",16,"weiß",236,"Yeti","Geologe",742.39,"Hochgebirge","unbest.",1488.59781993664
"17",17,"weiß",258,"Yeti","Geologe",767.9,"Hochgebirge","unbest.",1288.8107057975
"18",18,"weiß",314,"Yeti","Geologe",869.47,"Hochgebirge","unbest.",373.915650145199
"19",19,"weiß",241,"Yeti","Geologe",743.59,"Hochgebirge","unbest.",1448.98648622317
"20",20,"weiß",229,"Yeti","Geologe",702.96,"Hochgebirge","unbest.",1531.74810809815
"21",21,"weiß",254,"Yeti","Geologe",757.57,"Hochgebirge","unbest.",1340.67599108108
"22",22,"beige",236,"Yeti","Geologe",727.51,"Hochgebirge","unbest.",1491.28446042455
"23",23,"beige",283,"Yeti","Geologe",821.86,"Hochgebirge","unbest.",965.245852612998
"24",24,"beige",171,"Yeti","Geologe",605.08,"Hochgebirge","männlich",1833.36137867508
"25",25,"beige",244,"Yeti","Geologe",766.95,"Hochgebirge","männlich",1360.24182374304
"26",26,"beige",268,"Yeti","Geologe",777.12,"Hochgebirge","männlich",1208.24667735137
"27",27,"beige",280,"Yeti","Geologe",801.02,"Hochgebirge","männlich",1031.74900008137
"28",28,"beige",260,"Yeti","Geologe",779.83,"Hochgebirge","männlich",1224.56096212307
