"id","fruchtgroesse_mm","ethioningehalt","bewertung_geruch","wachstums_bedingungen","stacheldichte","fruchtfarbe"
"1",1,25.2233321805128,10,15.9,"starkes Sonneneinstrahlung",49.393599737156,"hellgrün"
"2",2,26.7519425959773,14,12.7,"starkes Sonneneinstrahlung",33.9087847058341,"hellgrün"
"3",3,28.5240206749544,20,8.2,"starkes Sonneneinstrahlung",48.2462048359406,"hellgrün"
"4",4,22.6861579940077,18,10.6,"starkes Sonneneinstrahlung",40.3386222305642,"hellgrün"
"5",5,29.7472555456103,22,7.4,"starkes Sonneneinstrahlung",35.0656679634854,"hellgrün"
"6",6,27.1677386142965,14,15.1,"starkes Sonneneinstrahlung",45.8319216315126,"hellgrün"
"7",7,26.9165749932605,20,7.3,"starkes Sonneneinstrahlung",36.9386084268372,"hellgrün"
"8",8,28.4658556231962,9,18.4,"starkes Sonneneinstrahlung",44.3918678742005,"dunkelgrün"
"9",9,25.8243265229903,15,8.7,"starkes Sonneneinstrahlung",37.7703209506168,"dunkelgrün"
"10",10,28.2022415001931,18,10.6,"starkes Sonneneinstrahlung",40.2734929208929,"dunkelgrün"
"11",11,26.7142244968358,22,8.7,"starkes Sonneneinstrahlung",47.6211677034971,"dunkelgrün"
"12",12,27.0617721532339,13,14.2,"starkes Sonneneinstrahlung",41.5074294944073,"dunkelgrün"
"13",13,29.8787386119494,16,9.8,"starkes Sonneneinstrahlung",46.1696848087306,"dunkelgrün"
"14",14,26.4732106946672,19,11.9,"starkes Sonneneinstrahlung",42.0109272399392,"dunkelgrün"
"15",15,25.3938589266015,22,8.6,"starkes Sonneneinstrahlung",39.9451501377579,"dunkelgrün"
"16",16,24.9177049072415,17,10.1,"starkes Sonneneinstrahlung",32.2420391498208,"dunkelgrün"
"17",17,27.4156257125986,14,13.5,"starkes Sonneneinstrahlung",41.5779591061687,"dunkelgrün"
"18",18,27.912034022849,17,12.2,"starkes Sonneneinstrahlung",43.8066079259361,"dunkelgrün"
"19",19,28.2155772773716,24,6.4,"starkes Sonneneinstrahlung",27.9633986009615,"dunkelgrün"
"20",20,27.204787444638,9,16.8,"starkes Sonneneinstrahlung",40.6317689634826,"dunkelgrün"
"21",21,25.1076503274302,11,15,"starkes Sonneneinstrahlung",43.9327004402247,"dunkelgrün"
"22",22,28.1448782982118,23,5.6,"starkes Sonneneinstrahlung",30.3718041113378,"dunkelgrün"
"23",23,28.3224313069365,14,15.3,"starkes Sonneneinstrahlung",48.671765979173,"dunkelgrün"
"24",24,35.5620397571258,16,12.2,"starkes Sonneneinstrahlung",44.4823556143568,"dunkelgrün"
"25",25,34.601281265555,16,13.6,"starkes Sonneneinstrahlung",43.6097316779684,"dunkelgrün"
"26",26,34.1434637889823,11,19.8,"Halbschatten",57.0341914794221,"dunkelgrün"
"27",27,35.1738541872745,11,11.1,"Halbschatten",41.8806570157085,"dunkelgrün"
"28",28,35.7881157034006,14,17.4,"Halbschatten",42.4471681371655,"dunkelgrün"
"29",29,32.3891714296779,18,7.2,"Halbschatten",33.8706774502654,"graugrün"
"30",30,35.6963646250483,11,15.8,"Halbschatten",46.958829345842,"graugrün"
"31",31,33.462968319615,9,14,"Halbschatten",49.5941440371236,"graugrün"
"32",32,33.1451474844702,20,11.8,"Halbschatten",42.9353393715408,"graugrün"
"33",33,38.0941419764867,15,14.1,"Halbschatten",45.542702423461,"graugrün"
"34",34,35.2945839095596,12,16.9,"Halbschatten",44.8044352914719,"graugrün"
"35",35,34.7856912517132,9,16.8,"Halbschatten",50.8442276964649,"graugrün"
"36",36,33.9073320284866,12,12.9,"Halbschatten",19.3205414396899,"graugrün"
"37",37,35.5748171412715,10,15.1,"Halbschatten",22.205798040269,"graugrün"
"38",38,30.8098372588928,12,12.8,"Halbschatten",22.3258523308848,"graugrün"
"39",39,33.191111537771,14,14.5,"Halbschatten",21.3852548566401,"graugrün"
"40",40,34.8748046666853,18,10.4,"Halbschatten",12.8641101140065,"graugrün"
"41",41,33.9608968343745,15,11.7,"Halbschatten",11.6486829701598,"graugrün"
"42",42,34.8063968382671,18,10,"Halbschatten",13.6225890966513,"graugrün"
"43",43,38.7359811952041,14,14.8,"Halbschatten",26.2117160983686,"graugrün"
"44",44,35.1187156606399,14,15.1,"Halbschatten",21.1098953064303,"dunkelgrün"
"45",45,36.9368544616927,14,13.8,"Halbschatten",23.5357946174891,"dunkelgrün"
"46",46,33.7700769377996,15,15.5,"Halbschatten",18.3028850546485,"dunkelgrün"
"47",47,35.2382629814614,12,11.2,"Halbschatten",17.0103651266524,"dunkelgrün"
"48",48,35.4652960637531,16,14.7,"Halbschatten",16.7238583929018,"dunkelgrün"
"49",49,36.1109677733556,17,10.5,"Schatten",15.8527982987565,"hellgrün"
"50",50,37.3342133845739,17,6.4,"Schatten",15.451072266068,"hellgrün"
"51",51,53.9563665087508,18,12.6,"Schatten",11.7975791914611,"hellgrün"
"52",52,56.509515178842,11,14.7,"Schatten",22.1094946127598,"hellgrün"
"53",53,54.0562038273936,19,12.1,"Schatten",16.9183192853085,"hellgrün"
"54",54,51.3014151585927,16,11.5,"Schatten",14.0181984088192,"hellgrün"
"55",55,55.6501788819035,13,14.3,"Schatten",17.5781770752579,"hellgrün"
"56",56,56.1316596623402,20,11.8,"Schatten",12.9474354464469,"hellgrün"
"57",57,56.248782699443,21,6.9,"Schatten",9.64335022929058,"hellgrün"
"58",58,56.741907059522,15,9.7,"Schatten",18.9251810895684,"hellgrün"
"59",59,55.3784917681301,18,6.8,"Schatten",6.51335704950072,"hellgrün"
"60",60,52.3630276352849,9,17.2,"Schatten",21.3279176087917,"hellgrün"
"61",61,56.5303668644823,15,13.2,"Schatten",17.9215816799295,"hellgrün"
"62",62,56.4626819507655,11,15.4,"Schatten",19.0501422882175,"hellgrün"
"63",63,55.680157905279,10,10.5,"Schatten",17.1386533823542,"hellgrün"
"64",64,57.3501239058924,21,9.7,"Schatten",17.2762119563973,"hellgrün"
"65",65,51.5194846803563,19,8.2,"Schatten",14.7466181392886,"hellgrün"
"66",66,55.6579800441149,17,14.5,"Schatten",16.0761871708229,"hellgrün"
"67",67,53.3958153006438,7,16,"Schatten",24.3317725783594,"hellgrün"
"68",68,53.7657751492106,11,13.9,"Schatten",17.804269011624,"hellgrün"
"69",69,55.7916672106484,18,9.6,"Schatten",19.3567216397412,"hellgrün"
"70",70,53.1862711076614,15,11.6,"Schatten",9.94703452392349,"hellgrün"
"71",71,51.740201269184,16,10.1,"Schatten",16.5051805199485,"hellgrün"
"72",72,56.8838330276033,16,14,"Schatten",25.0724656032851,"hellgrün"
"73",73,55.1787381709637,15,13.4,"Schatten",14.8196168658615,"hellgrün"
"74",74,59.8788247390701,17,11.1,"Schatten",15.0487176017255,"hellgrün"
"75",75,57.5735537314822,15,12.5,"Schatten",21.0685344166071,"hellgrün"
"76",76,42.4869499874609,19,11,"Schatten",20.7342004994743,"hellgrün"
"77",77,40.6217469246816,20,13.1,"Schatten",16.1873894609527,"hellgrün"
"78",78,41.2470288362718,8,14.9,"Schatten",18.1522925267007,"hellgrün"
"79",79,42.8900191085879,10,15.7,"künstliches Licht",12.7030329832657,"hellgrün"
"80",80,38.2604133409614,9,16,"künstliches Licht",20.55924691318,"hellgrün"
"81",81,42.8502396906735,12,14.5,"künstliches Licht",16.148376002795,"hellgrün"
"82",82,39.8909761216945,14,13.1,"künstliches Licht",19.7643955837309,"hellgrün"
"83",83,39.2276233502926,20,8.6,"künstliches Licht",14.9641450748258,"hellgrün"
"84",84,44.0706684075058,16,10.9,"künstliches Licht",13.7738735617783,"hellgrün"
"85",85,44.986972550846,7,14,"künstliches Licht",19.0595879959649,"hellgrün"
"86",86,41.6750441871937,15,15.2,"künstliches Licht",21.9957407924304,"hellgrün"
"87",87,40.7502540577445,21,10.4,"künstliches Licht",13.2644182707889,"hellgrün"
"88",88,42.0808338309846,14,16.3,"künstliches Licht",24.2495117659163,"hellgrün"
"89",89,47.7550668214286,21,6.2,"künstliches Licht",12.0139917640295,"graugrün"
"90",90,41.6404005032863,15,11.2,"künstliches Licht",16.0871311575945,"graugrün"
"91",91,42.8588649494911,14,15.4,"künstliches Licht",21.8438615439487,"graugrün"
"92",92,42.3692179241666,24,6.4,"künstliches Licht",10.4495984425672,"graugrün"
"93",93,41.0639119969628,17,13.8,"künstliches Licht",21.6066564711487,"graugrün"
"94",94,41.6055714803112,16,14.5,"künstliches Licht",20.6979363585313,"graugrün"
"95",95,41.8353443337946,6,15.8,"künstliches Licht",21.9283406991983,"graugrün"
"96",96,45.797741683663,27,6.9,"künstliches Licht",12.4896300158478,"graugrün"
"97",97,40.3155128817445,16,9.9,"künstliches Licht",18.9911869697187,"graugrün"
"98",98,41.5626282143271,21,10.4,"künstliches Licht",21.2166919387479,"graugrün"
"99",99,41.7132721392703,16,12.4,"künstliches Licht",23.5419337076211,"graugrün"
"100",100,40.6179113058101,15,12,"künstliches Licht",16.2838443946486,"graugrün"
